,Unique_ID,Class_1_Probability
0,Candidate_1602,0.3225020434953028
1,Candidate_29650,0.3383615156913525
2,Candidate_31061,0.5236552088163946
3,Candidate_5768,0.46262514775570934
4,Candidate_27059,0.5045780090775641
5,Candidate_20270,0.5194433751860372
6,Candidate_54043,0.5264599070133761
7,Candidate_54497,0.458708748952822
8,Candidate_38167,0.3299211587133993
9,Candidate_11250,0.46694314304731144
10,Candidate_5419,0.3990372055886494
11,Candidate_6931,0.5388256105040738
12,Candidate_6916,0.39568397654815596
13,Candidate_3515,0.40252216687071746
14,Candidate_4625,0.4974938480666954
15,Candidate_35017,0.39255294242004496
16,Candidate_21332,0.42864691395302934
17,Candidate_19628,0.10172179708683002
18,Candidate_19067,0.22092673282351358
19,Candidate_47289,0.2689856236019977
20,Candidate_12172,0.28496215135362946
21,Candidate_43670,0.3236775334081603
22,Candidate_18953,0.3732018316018225
23,Candidate_3087,0.5694935044617164
24,Candidate_15947,0.5923832615415525
25,Candidate_32862,0.37838100686007464
26,Candidate_30241,0.5325006125947895
27,Candidate_36494,0.42007800145069285
28,Candidate_24637,0.29500158004697635
29,Candidate_12273,0.5214690645524269
30,Candidate_34576,0.3327588120706457
31,Candidate_31700,0.5375499577022966
32,Candidate_35018,0.4771122702169039
33,Candidate_37102,0.17199438606817163
34,Candidate_5355,0.5583920418207465
35,Candidate_22900,0.3493194148102937
36,Candidate_32577,0.49002122387928215
37,Candidate_6584,0.4862278968214203
38,Candidate_22497,0.4312587080843776
39,Candidate_5119,0.4890603130682029
40,Candidate_19611,0.41198776518657393
41,Candidate_670,0.3982022789383342
42,Candidate_11319,0.5409415723095522
43,Candidate_2435,0.40552704181560423
44,Candidate_53281,0.511136990065424
45,Candidate_28565,0.39588597610012305
46,Candidate_23217,0.31049335732894856
47,Candidate_18516,0.4832707424018083
48,Candidate_44789,0.5730861824252721
49,Candidate_14560,0.39546654805469267
50,Candidate_37433,0.3906984512540208
51,Candidate_2470,0.26531711218302784
52,Candidate_29135,0.5165398004180972
53,Candidate_19788,0.12042992219389465
54,Candidate_32753,0.351634550354354
55,Candidate_17793,0.2693643934570039
56,Candidate_14051,0.4482177462273442
57,Candidate_20768,0.44215170689005906
58,Candidate_22967,0.4554403353745598
59,Candidate_5561,0.5299457953806225
60,Candidate_9123,0.5140006454170004
61,Candidate_20607,0.16012058958540326
62,Candidate_19549,0.2414968481145359
63,Candidate_40456,0.43592828542360873
64,Candidate_24292,0.4828577093908409
65,Candidate_21670,0.38528527883606184
66,Candidate_41952,0.3639500092378605
67,Candidate_15451,0.2720130955916275
68,Candidate_10160,0.5028228962319936
69,Candidate_53635,0.4379380474937813
70,Candidate_46594,0.4938369973389122
71,Candidate_38403,0.42860120393510776
72,Candidate_24940,0.4252630511310248
73,Candidate_15538,0.41295573645031064
74,Candidate_9811,0.5160198618713215
75,Candidate_42848,0.31371057938222
76,Candidate_4887,0.4177721367127507
77,Candidate_29328,0.35721580022439303
78,Candidate_32148,0.4059134380158366
79,Candidate_27779,0.39145947654623525
80,Candidate_38695,0.23686690058252766
81,Candidate_39837,0.28531632895252546
82,Candidate_11369,0.49660492357755415
83,Candidate_9668,0.3757972224123196
84,Candidate_5007,0.38290878633616704
85,Candidate_55017,0.43515611071232224
86,Candidate_40238,0.4042617188223804
87,Candidate_39737,0.19126184311353775
88,Candidate_41130,0.45202999975469527
89,Candidate_21346,0.13218614188037897
90,Candidate_52457,0.45631914840616505
91,Candidate_42035,0.288055379009323
92,Candidate_4601,0.3290825908141795
93,Candidate_31460,0.27729875221857775
94,Candidate_31486,0.2064291029848734
95,Candidate_10022,0.473508531464872
96,Candidate_46187,0.4081761124558066
97,Candidate_53903,0.370648230054818
98,Candidate_36932,0.22654266870070236
99,Candidate_35501,0.29460836899506576
100,Candidate_16024,0.40696468851000944
101,Candidate_40915,0.14453335782189763
102,Candidate_3215,0.4406566380889677
103,Candidate_37336,0.3695419341284458
104,Candidate_39474,0.49404583306864486
105,Candidate_9242,0.49566727151746937
106,Candidate_54580,0.39543982230971325
107,Candidate_23436,0.19397945504237346
108,Candidate_24389,0.2715730973579539
109,Candidate_46184,0.6049711041021878
110,Candidate_220,0.3908695588058106
111,Candidate_19533,0.3294299765639363
112,Candidate_2636,0.413365774355524
113,Candidate_4299,0.596841116210567
114,Candidate_7866,0.4056576720947742
115,Candidate_36732,0.3451103925098795
116,Candidate_34036,0.20148034840941234
117,Candidate_13828,0.2593194594274479
118,Candidate_15541,0.4937944358038246
119,Candidate_44349,0.48717155845562254
120,Candidate_22503,0.3897821757862243
121,Candidate_10575,0.5693803405570421
122,Candidate_15279,0.4923064062656065
123,Candidate_23398,0.5080207561483856
124,Candidate_33262,0.23174763042400542
125,Candidate_19303,0.4187577444082357
126,Candidate_23404,0.3423034316873901
127,Candidate_31853,0.29016962286782544
128,Candidate_6839,0.5963160401757327
129,Candidate_18876,0.24687476597776686
130,Candidate_2018,0.2624785325021626
131,Candidate_47345,0.3080504600455438
132,Candidate_13111,0.32600501729769066
133,Candidate_24575,0.4194140712503095
134,Candidate_21537,0.530669247862529
135,Candidate_52257,0.45814958482588053
136,Candidate_37424,0.5457144393173179
